Price,Address,Size,Rooms
 36.5 M Ft ," Tahi utca, XIII. kerület", 47 m² terület, 1 + 1 fél szoba
 36 M Ft ," Petneházy utca, XIII. kerület", 66 m² terület, 2 szoba
 32.9 M Ft ," Lehel utca, XIII. kerület", 66 m² terület, 1 + 2 fél szoba
 31.5 M Ft ," Országbíró utca 54, XIII. kerület", 36 m² terület, 1 szoba
 26.49 M Ft ," Jász utca, XIII. kerület", 56 m² terület, 2 szoba
 36.99 M Ft ," Gidófalvy Lajos utca, XIII. kerület", 62 m² terület, 1 + 2 fél szoba
 37.7 M Ft ," Szegedi út 55-57, XIII. kerület", 42 m² terület, 2 szoba
 37.9 M Ft ," Röppentyű utca, XIII. kerület", 46 m² terület, 1 + 1 fél szoba
 35.9 M Ft ," Tahi utca, XIII. kerület", 45 m² terület, 1 + 1 fél szoba
 17 M Ft ," Újpest, IV. kerület", 30 m² terület, 1 szoba
 31 M Ft ," Szegedi út 55-57, XIII. kerület", 34 m² terület, 1 szoba
 32.8 M Ft ," Munkásotthon utca, IV. kerület", 43 m² terület, 1 szoba
 35.9 M Ft ," Lehel utca 5, XIII. kerület", 66 m² terület, 3 szoba
 24.5 M Ft ," Forgách utca, XIII. kerület", 84 m² terület, 3 szoba
 23.7 M Ft ," Angyalföldi út, XIII. kerület", 39 m² terület, 1 szoba
 26.9 M Ft ," Tomori köz, XIII. kerület", 36 m² terület, 1 szoba
 36.6 M Ft ," Virág utca, IV. kerület", 71 m² terület, 2 + 1 fél szoba
 21.4 M Ft ," Vágóhíd utca 18-26, XX. kerület", 39 m² terület, 1 szoba
 27 M Ft ," Gyöngyösi utca, XIII. kerület", 35 m² terület, 1 + 1 fél szoba
 32.9 M Ft ," Tisza utca, XIII. kerület", 37 m² terület, 1 szoba
 34.9 M Ft ," Visegrádi utca, XIII. kerület", 36 m² terület, 1 + 1 fél szoba
 22 M Ft ," Üteg utca 11/A, XIII. kerület", 30 m² terület, 1 szoba
 27.9 M Ft ," Nagy Győry István utca, XX. kerület", 43 m² terület, 1 + 1 fél szoba
 30.7 M Ft ," Helsinki út, XX. kerület", 67 m² terület, 2 + 1 fél szoba
 34.99 M Ft ," Külső Szilágyi út, IV. kerület", 62 m² terület, 2 + 1 fél szoba
 30.6 M Ft ," Radnóti Miklós utca, XIII. kerület", 33 m² terület, 1 szoba
 22.49 M Ft ," Munkásotthon utca 74-76, IV. kerület", 37 m² terület, 1 + 1 fél szoba
 24.9 M Ft ," Visegrádi utca, XIII. kerület", 30 m² terület, 1 szoba
 30.7 M Ft ," Ady Endre út, XIX. kerület", 44 m² terület, 2 szoba
 28 M Ft ," Népfürdő utca 19, XIII. kerület", 36 m² terület, 1 szoba
 36.9 M Ft ," Lehel utca, XIII. kerület", 45 m² terület, 1 + 1 fél szoba
 34.59 M Ft ," Kerekes utca, XIII. kerület", 40 m² terület, 2 szoba
 25.99 M Ft ," Pannónia utca, XIII. kerület", 46 m² terület, 1 + 1 fél szoba
 35.49 M Ft ," Népfürdő utca, XIII. kerület", 49 m² terület, 2 szoba
 35.89 M Ft ," Cserhalom utca, XIII. kerület", 34 m² terület, 1 szoba
 30.9 M Ft ," Esztergomi út, XIII. kerület", 28 m² terület, 1 szoba
 34.72 M Ft ," Jakab József utca 19, XIII. kerület", 34 m² terület, 1 szoba
 35.66 M Ft ," Jakab József utca 19, XIII. kerület", 30 m² terület, 1 szoba
 34.5 M Ft ," Váci utca, V. kerület", 29 m² terület, 2 szoba
 30 M Ft ," Futár utca 9, XIII. kerület", 56 m² terület, 2 szoba
 34.7 M Ft ," Nyár utca, IV. kerület", 71 m² terület, 2 + 1 fél szoba
